date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:25	19477/19477	---MCZ	404	error ('Not%20Found')	text/html	etag:%224c15-gstboIQE5cE6gmAGWj7v5EESRMk%22	https://solcellskollen.se/eS/	D:/solnce2/solcellskollen.se/eS/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:25	1396696/1396696	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202019%2009:53:58%20GMT	https://solcellskollen.imgix.net/public/solceller-carina-sigtuna-5401efaaf7162990240a3aa8665afc4c.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-carina-sigtuna-5401efaaf7162990240a3aa8665afc4c529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:25	4742/4742	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2009:47:22%20GMT	https://solcellskollen.imgix.net/public/consize-ab-cbb30aee4d15d7ae3781ee0b94cd82e9.png?auto=format&blur=200&w=128	D:/solnce2/solcellskollen.imgix.net/public/consize-ab-cbb30aee4d15d7ae3781ee0b94cd82e97c12.png	(from https://solcellskollen.se/profil/consize-ab)
11:47:26	1123240/1123240	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2021:03:05%20GMT	https://solcellskollen.imgix.net/public/solceller-marcus-stockholm-4df763d4a1fea3a13b7bd4d950edb5d6.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-marcus-stockholm-4df763d4a1fea3a13b7bd4d950edb5d6529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:26	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-TDLzcsqwLLdv08c09R+SYrASMmY%22	https://solcellskollen.se/profil/0Sc/	D:/solnce2/solcellskollen.se/profil/0Sc/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:26	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-cMx3D4TOE3FBiM4iy/7Zqx7xGgY%22	https://solcellskollen.se/profil/29s/	D:/solnce2/solcellskollen.se/profil/29s/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:26	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-J4Nuo/XosPRlcwKb9LWY0ovbMoQ%22	https://solcellskollen.se/profil/0tY/	D:/solnce2/solcellskollen.se/profil/0tY/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:26	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-7ECL+lnlYG9Eym5bm4qtGmwLRDg%22	https://solcellskollen.se/profil/NsO/	D:/solnce2/solcellskollen.se/profil/NsO/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:27	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-b5Czvrwd+3AIfV6AzrJ7R1FnV0o%22	https://solcellskollen.se/profil/vZU/	D:/solnce2/solcellskollen.se/profil/vZU/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:27	467053/467053	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2009:48:04%20GMT	https://solcellskollen.imgix.net/public/solceller-christer-sandviken-ffebf9221a1be19dad5e37f873667f69.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-christer-sandviken-ffebf9221a1be19dad5e37f873667f69529e.jpg	(from https://solcellskollen.se/profil/consize-ab)
11:47:28	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-56fzm/g1Ca+NH/0gRTEFpB9vUuU%22	https://solcellskollen.se/profil/qxG/	D:/solnce2/solcellskollen.se/profil/qxG/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:28	100034/100034	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2009:47:28%20GMT	https://solcellskollen.imgix.net/public/solceller-ferenc-sandviken-d2dff2b5d2394fe1db550849fbb6bb28.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-ferenc-sandviken-d2dff2b5d2394fe1db550849fbb6bb28529e.jpg	(from https://solcellskollen.se/profil/consize-ab)
11:47:28	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-OKiTuCDKKVQiffFgK37cRaLJi1A%22	https://solcellskollen.se/profil/CQb/	D:/solnce2/solcellskollen.se/profil/CQb/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:28	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-gyy9hx8HGYBYDW5Dt35rtL722v0%22	https://solcellskollen.se/profil/Tc8/	D:/solnce2/solcellskollen.se/profil/Tc8/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:28	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-De1O/t+BuKZEqC8x2cvkjLVCP9c%22	https://solcellskollen.se/profil/gAj/	D:/solnce2/solcellskollen.se/profil/gAj/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:29	18399/18399	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202019%2013:15:34%20GMT	https://solcellskollen.imgix.net/public/ecokraft-e25ab14a71d1809888d82b6129ab1a01.png?auto=format&blur=200&w=128	D:/solnce2/solcellskollen.imgix.net/public/ecokraft-e25ab14a71d1809888d82b6129ab1a017c12.png	(from https://solcellskollen.se/profil/ecokraft)
11:47:29	19477/19477	---MCZ	404	error ('Not%20Found')	text/html	etag:%224c15-gstboIQE5cE6gmAGWj7v5EESRMk%22	https://solcellskollen.se/profil/9/5/	D:/solnce2/solcellskollen.se/profil/9/5/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:29	8003/8003	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Oct%202019%2012:30:48%20GMT	https://solcellskollen.imgix.net/public/solceller-lantbruk-324b15ce5436e24119626e793c70cb5e.jpg?auto=format&blur=200&w=339	D:/solnce2/solcellskollen.imgix.net/public/solceller-lantbruk-324b15ce5436e24119626e793c70cb5ea10b.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:29	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-npaCBRAuNmXwf0InuMdA5B6kne4%22	https://solcellskollen.se/profil/UZv/	D:/solnce2/solcellskollen.se/profil/UZv/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:29	19802/19802	---MCZ	404	error ('Not%20Found')	text/html	etag:%224d5a-dtDYoDOBPZ214UOkJowsTe+DJDc%22	https://solcellskollen.se/profil/vPd/	D:/solnce2/solcellskollen.se/profil/vPd/index.html	(from https://solcellskollen.se/profil/cell-solar)
11:47:29	200336/200336	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202019%2012:10:26%20GMT	https://solcellskollen.imgix.net/public/solceller-eskilstuna-daniel-58517e73ec474e5ec98ced26e70f3b78.JPG?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-eskilstuna-daniel-58517e73ec474e5ec98ced26e70f3b78529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:31	867577/867577	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2009:47:52%20GMT	https://solcellskollen.imgix.net/public/solceller-ekkehard-lottorp-4222d2b5c8c7f8343d6f8a1f707b233a.jpeg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-ekkehard-lottorp-4222d2b5c8c7f8343d6f8a1f707b233a529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:31	68516/68516	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2013:15:11%20GMT	https://solcellskollen.imgix.net/public/solceller-kjell-aseda-feae928ba0b34e8004f8413482d1d206.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-kjell-aseda-feae928ba0b34e8004f8413482d1d206529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:32	8309/8309	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2009:47:27%20GMT	https://solcellskollen.imgix.net/public/energiforbattring-ab-20cf4ca991a28f68e925e5d8b7a2d1b6.png?auto=format&blur=200&w=128	D:/solnce2/solcellskollen.imgix.net/public/energiforbattring-ab-20cf4ca991a28f68e925e5d8b7a2d1b67c12.png	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:33	44024/44024	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2009:47:28%20GMT	https://solcellskollen.imgix.net/public/solceller-energiforbattring-ab-molnlycke-d044e2f84fc50de45e934b1c19796f99.png?auto=format&blur=200&w=339	D:/solnce2/solcellskollen.imgix.net/public/solceller-energiforbattring-ab-molnlycke-d044e2f84fc50de45e934b1c19796f99a10b.png	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:34	1078322/1078322	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202019%2018:26:20%20GMT	https://solcellskollen.imgix.net/public/solceller-norrtalje-jan-988a24ca36d33b00a5077d0f95e7d4d9.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-norrtalje-jan-988a24ca36d33b00a5077d0f95e7d4d9529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:34	1436740/1436740	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2013:14:53%20GMT	https://solcellskollen.imgix.net/public/solceller-kent-vaxjo-08535d54fe9c61757b9632d70ad97254.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-kent-vaxjo-08535d54fe9c61757b9632d70ad97254529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:35	92618/92618	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202019%2020:36:15%20GMT	https://solcellskollen.imgix.net/public/solceller-malin-lerum-54e5d60e66057c0fb66d9bf74aa5bcd2.JPG?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-malin-lerum-54e5d60e66057c0fb66d9bf74aa5bcd2529e.jpg	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:35	64658/64658	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202019%2020:36:13%20GMT	https://solcellskollen.imgix.net/public/solceller-martin-orby-3ac38f94a28e42965409521716a15386.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-martin-orby-3ac38f94a28e42965409521716a15386529e.jpg	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:35	857139/857139	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2009:47:26%20GMT	https://solcellskollen.imgix.net/public/solceller-kurt-norrkoping-74c0f806873aa91fd1cd71b135e10bd1.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-kurt-norrkoping-74c0f806873aa91fd1cd71b135e10bd1529e.jpg	(from https://solcellskollen.se/profil/ecokraft)
11:47:35	548544/548544	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Oct%202019%2020:58:29%20GMT	https://solcellskollen.imgix.net/public/solceller-goteborg-lisa-819ccfe6f97de2ee151c0ae677f0ea11.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-goteborg-lisa-819ccfe6f97de2ee151c0ae677f0ea11529e.jpg	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:35	147516/147516	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202019%2009:47:58%20GMT	https://solcellskollen.imgix.net/public/solceller-mikael-goteborg-6b84d01fb1618604e2ed7ef933b7acb0.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-mikael-goteborg-6b84d01fb1618604e2ed7ef933b7acb0529e.jpg	(from https://solcellskollen.se/profil/energiforbattring-ab)
11:47:35	24119/24119	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202019%2020:13:48%20GMT	https://solcellskollen.imgix.net/public/gothia-solenergi-2f3a6ccb1a5238fccf5b8e734c4fbce2.png?auto=format&blur=200&w=128	D:/solnce2/solcellskollen.imgix.net/public/gothia-solenergi-2f3a6ccb1a5238fccf5b8e734c4fbce27c12.png	(from https://solcellskollen.se/profil/gothia-solenergi)
11:47:35	42904/42904	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202019%2003:16:16%20GMT	https://solcellskollen.imgix.net/public/solceller-argongatan-molndal-1b289e229a649e7b80fa0bc36dcc9abe.png?auto=format&blur=200&w=339	D:/solnce2/solcellskollen.imgix.net/public/solceller-argongatan-molndal-1b289e229a649e7b80fa0bc36dcc9abea10b.png	(from https://solcellskollen.se/profil/gothia-solenergi)
